,pairid,order,linewav1,lineelement1,linepotential1,linewav2,lineelement2,linepotential2,slope,intercept,Npoints,std_res,covaa,covab,covbb,fittype
0,1,57,9879.583,22,1.873,9889.035,26,5.033,-1461.7,3543.3,5,43,27650.5,6513.9,2338.3,l
1,2,56,9927.351,22,1.879,9944.207,26,5.012,-2390.4,4837.2,8,112.2,30189.1,-8599.7,3588.9,l
2,3,56,9946.32,24,3.556,9953.471,26,5.446,-2635,4223.2,6,125.3,821179.4,-63702.6,14949.8,l
3,4,56,10003.09,22,2.16,9961.256,11,3.617,-2644.9,4339.3,6,86.1,128097.2,-17439.4,3555.2,l
4,5,56,10081.39,26,2.424,9980.463,26,5.033,-2686.5,4585.7,9,73.8,74185.2,-10464.3,3836.1,l
5,6,56,10005.66,22,1.067,9987.869,26,2.176,-961.2,3955.1,5,26.6,27818.4,-2125.6,789.5,l
6,7,56,9997.959,22,1.873,10077.17,26,2.99,-2296.7,4848,8,120.7,51470.1,-17008.2,6998.9,l
7,8,56,10011.74,22,2.154,10041.47,26,5.012,-2476.8,5189.2,9,86.7,76946.1,-32725,16562.5,l
8,9,56,10034.49,22,1.46,10086.24,26,2.949,-2433.4,4953.4,8,42.1,67874.7,-26272.1,11280,l
9,10,56,10059.9,22,1.43,10068.33,14,6.099,-1087.7,4837.2,6,98.8,15946.9,-10426.8,8446.4,l
10,11,56,10066.51,22,2.16,10065.05,26,4.835,-1800.7,3631.1,9,79.2,12870.4,2624.8,1196.2,l
11,12,55,10155.16,26,2.176,10216.31,26,4.733,-3116.2,3758.4,9,148,10919.2,2290.2,875.6,l
12,13,55,10167.47,26,2.198,10193.22,28,4.089,-4235.2,4586.8,9,143.4,33115.4,-348.5,648.2,l
13,14,55,10189.15,22,1.46,10195.11,26,2.728,-1653.5,3521.8,6,77.6,15740.5,4646.2,1918.2,l
14,15,55,10273.68,20,4.535,10230.8,26,6.119,-2178.5,4584.4,9,102.2,18091.7,598.5,1070.8,l
15,16,54,10423.74,26,3.071,10288.94,14,4.92,-3963.6,4465.4,9,68.8,26777.7,-276.3,481.3,l
16,17,54,10333.18,26,4.593,10313.2,14,6.399,-2830.2,5109.2,5,67.9,167118.3,-23316.4,5120.7,l
17,18,54,10321.06,28,5.525,10414.91,14,6.619,-3392.2,4481.6,5,131.8,739609,44487.9,6757.9,l
18,19,54,10332.33,26,3.635,10353.81,26,5.393,-4498.7,4779.3,9,95.8,130175.1,-8858.3,1957.4,l
19,20,54,10396.8,22,0.848,10340.89,26,2.198,-4433.1,5015.6,9,110.4,24285.2,-4459.2,1115.1,l
20,21,54,10343.82,20,2.933,10371.26,14,4.93,-5039.9,4835.7,9,48.8,23998.7,-1963.2,484.7,l
21,22,54,10423.03,26,2.692,10347.97,26,5.393,-3912.3,5345.6,9,126.7,42713.3,-9153.6,2634.2,l
